Statistical profiling result from isolate-nodebug-v8.log, (17642 ticks, 30 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  LazyCompile: *push /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      2    0.0%    0.0%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      2    0.0%    0.0%  LazyCompile: *lookupProperty /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.0%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      2    0.0%    0.0%  LazyCompile: *fastparse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/parseurl/index.js:95:20
      2    0.0%    0.0%  LazyCompile: *createError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/http-errors/index.js:49:22
      2    0.0%    0.0%  LazyCompile: *castChunk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      2    0.0%    0.0%  LazyCompile: *_addListener node:events:554:22
      2    0.0%    0.0%  LazyCompile: *Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      2    0.0%    0.0%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1057:37
      2    0.0%    0.0%  LazyCompile: *ExpressHandlebars.getTemplate /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:162:56
      2    0.0%    0.0%  LazyCompile: *<anonymous> node:vm:313:27
      2    0.0%    0.0%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:360:47
