Statistical profiling result from fork-v8.log, (29721 ticks, 7 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.8%    0.0%  __pthread_rwlock_wrlock@GLIBC_2.2.5
      1    0.4%    0.0%  syscall@@GLIBC_2.2.5
      1    0.4%    0.0%  std::ostream::operator<<(int)@@GLIBCXX_3.4
      1    0.4%    0.0%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const@@GLIBCXX_3.4
      1    0.4%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@@GLIBCXX_3.4.18
      1    0.4%    0.0%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const@@GLIBCXX_3.4.18
      1    0.4%    0.0%  std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.4%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)@@GLIBCXX_3.4
      1    0.4%    0.0%  std::_Rb_tree_increment(std::_Rb_tree_node_base*)@@GLIBCXX_3.4
      1    0.4%    0.0%  pthread_cond_signal@@GLIBC_2.3.2
      1    0.4%    0.0%  operator new(unsigned long)@@GLIBCXX_3.4
      1    0.4%    0.0%  fflush@@GLIBC_2.2.5
      1    0.4%    0.0%  __pthread_rwlock_unlock@GLIBC_2.2.5
      1    0.4%    0.0%  __pthread_rwlock_tryrdlock@GLIBC_2.2.5
      1    0.4%    0.0%  __pthread_getspecific@GLIBC_2.2.5

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  19642   66.1%  LazyCompile: *<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
  15721   80.0%    LazyCompile: *handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
  15721  100.0%      Function: ^next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:114:16
  15721  100.0%        Function: ^dispatch /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:98:45
  15721  100.0%          LazyCompile: *handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
  15721  100.0%            LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:176:16
   3911   19.9%    Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
   3767   96.3%      Function: ^next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:114:16
   3767  100.0%        Function: ^dispatch /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:98:45
   3767  100.0%          Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
   2441   64.8%            LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:176:16
   1326   35.2%            Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:275:64
    144    3.7%      LazyCompile: ~next /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:114:16
     83   57.6%        LazyCompile: ~dispatch /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:98:45
     83  100.0%          Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
     76   91.6%            Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:275:64
      7    8.4%            LazyCompile: ~<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:275:64
     61   42.4%        Function: ^dispatch /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/route.js:98:45
     61  100.0%          Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
     61  100.0%            Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/index.js:275:64

   9354   31.5%  /usr/local/lib/nodejs/bin/node
   3864   41.3%    /usr/local/lib/nodejs/bin/node
   1084   28.1%      Function: ^stringify /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:1123:20
   1084  100.0%        Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
   1084  100.0%          LazyCompile: *<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
    888   81.9%            LazyCompile: *handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
    196   18.1%            Function: ^handle /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/router/layer.js:86:49
    290    7.5%      Function: ^update node:internal/crypto/hash:95:40
    290  100.0%        Function: ^entitytag /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/etag/index.js:39:20
    290  100.0%          Function: ^etag /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/etag/index.js:70:15
    290  100.0%            Function: ^generateETag /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/utils.js:272:32
    252    6.5%      Function: ^writevGeneric node:internal/stream_base_commons:122:23
    250   99.2%        Function: ^Socket._writeGeneric node:net:769:42
    250  100.0%          Function: ^Socket._writev node:net:801:36
    250  100.0%            Function: ^doWrite node:internal/streams/writable:398:17
    212    5.5%      Function: ^fromStringFast node:buffer:413:24
    212  100.0%        Function: ^fromString node:buffer:432:20
    204   96.2%          Function: ^from node:buffer:296:28
    204  100.0%            Function: ^send /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:107:25
      8    3.8%          LazyCompile: ~from node:buffer:296:28
      8  100.0%            Function: ^send /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:107:25
    159    4.1%      Function: ^compileFunction node:vm:308:25
    149   93.7%        Function: ^wrapSafe node:internal/modules/cjs/loader:1017:18
    147   98.7%          Function: ^Module._compile node:internal/modules/cjs/loader:1057:37
    113   76.9%            Function: ^Module._extensions..js node:internal/modules/cjs/loader:1112:37
     34   23.1%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1112:37
      2    1.3%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1057:37
      2  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1112:37
     10    6.3%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
     10  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1057:37
     10  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1112:37
    141    3.6%      /usr/local/lib/nodejs/bin/node
     34   24.1%        Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/cors/lib/index.js:204:37
     34  100.0%          Function: ^optionsCallback /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/cors/lib/index.js:198:34
     34  100.0%            Function: ^corsMiddleware /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/cors/lib/index.js:203:35
     11    7.8%        LazyCompile: *header /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:759:29
     10   90.9%          Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
     10  100.0%            LazyCompile: *<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
      1    9.1%          Function: ^send /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:107:25
      1  100.0%            Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
     10    7.1%        Function: ^header /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:759:29
      7   70.0%          Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
      7  100.0%            LazyCompile: *<anonymous> file:///home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/routes/index.js:26:18
      3   30.0%          Function: ^send /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:107:25
      3  100.0%            Function: ^json /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/response.js:239:25
     10    7.1%        Function: ^format /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/content-type/index.js:65:17
     10  100.0%          Function: ^setCharset /home/echevalier/Devel/Coder/Backend/backend_clase16/practicas_artillery/node_modules/express/lib/utils.js:247:41
